dt,portfolio_id,nav
2019-04-07,a000Y000019ZliRQAS,105411.38
2019-04-06,a000Y000019ZliRQAS,105411.38
2019-04-05,a000Y000019ZliRQAS,105380.89
2019-04-04,a000Y000019ZliRQAS,105010.95
2019-04-03,a000Y000019ZliRQAS,105256.69
2019-04-02,a000Y000019ZliRQAS,104663.67
2019-04-01,a000Y000019ZliRQAS,104414.89
2019-03-31,a000Y000019ZliRQAS,103436.88
2019-03-30,a000Y000019ZliRQAS,103436.88
2019-03-29,a000Y000019ZliRQAS,103405.86
2019-03-28,a000Y000019ZliRQAS,104034.5
2019-03-27,a000Y000019ZliRQAS,103851.02
2019-03-26,a000Y000019ZliRQAS,103779.02
2019-03-25,a000Y000019ZliRQAS,103108.4
2019-03-24,a000Y000019ZliRQAS,103666.48
2019-03-23,a000Y000019ZliRQAS,103666.48
2019-03-22,a000Y000019ZliRQAS,103366.93
2019-03-21,a000Y000019ZliRQAS,104151.54
2019-03-20,a000Y000019ZliRQAS,104069.24
2019-03-19,a000Y000019ZliRQAS,104592.93
2019-03-18,a000Y000019ZliRQAS,104297.33
2019-03-17,a000Y000019ZliRQAS,104086.71
2019-03-16,a000Y000019ZliRQAS,104086.71
2019-03-15,a000Y000019ZliRQAS,104206.24
2019-03-14,a000Y000019ZliRQAS,103591.04
2019-03-13,a000Y000019ZliRQAS,103799.28
2019-03-12,a000Y000019ZliRQAS,103686.1
2019-03-11,a000Y000019ZliRQAS,103348.65
2019-03-10,a000Y000019ZliRQAS,102376.95
2019-03-09,a000Y000019ZliRQAS,102376.95
2019-03-08,a000Y000019ZliRQAS,102607.18
2019-03-07,a000Y000019ZliRQAS,102708.72
2019-03-06,a000Y000019ZliRQAS,103296.83
2019-03-05,a000Y000019ZliRQAS,103401.09
2019-03-04,a000Y000019ZliRQAS,103196.56
2019-03-03,a000Y000019ZliRQAS,103161.4
2019-03-02,a000Y000019ZliRQAS,103161.4
2019-03-01,a000Y000019ZliRQAS,103202.18
2019-02-28,a000Y000019ZliRQAS,102861.92
2019-02-27,a000Y000019ZliRQAS,103099.43
2019-02-26,a000Y000019ZliRQAS,103476.08
2019-02-25,a000Y000019ZliRQAS,103612.26
2019-02-24,a000Y000019ZliRQAS,103332.73
2019-02-23,a000Y000019ZliRQAS,103332.73
2019-02-22,a000Y000019ZliRQAS,103349.89
2019-02-21,a000Y000019ZliRQAS,102988.49
2019-02-20,a000Y000019ZliRQAS,103156.65
2019-02-19,a000Y000019ZliRQAS,102920.28
2019-02-18,a000Y000019ZliRQAS,102990.69
2019-02-17,a000Y000019ZliRQAS,102761.54
2019-02-16,a000Y000019ZliRQAS,102761.54
2019-02-15,a000Y000019ZliRQAS,102722.98
2019-02-14,a000Y000019ZliRQAS,102389.21
2019-02-13,a000Y000019ZliRQAS,102236.2
2019-02-12,a000Y000019ZliRQAS,102170.52
2019-02-11,a000Y000019ZliRQAS,100982.82
